date,price,qty
2021-05-21,170.0,1
2021-05-22,170.0,0
2021-05-23,170.0,0
2021-05-24,170.0,0
2021-05-25,170.0,0
2021-05-26,170.0,4
2021-05-27,295.0,0
2021-05-28,295.0,1
2021-05-29,315.0,1
2021-05-30,295.0,1
2021-05-31,201.25,0
2021-06-01,201.25,0
2021-06-02,201.25,0
2021-06-03,201.25,4
2021-06-04,170.0,1
2021-06-05,224.0,0
2021-06-06,224.0,0
2021-06-07,224.0,0
2021-06-08,224.0,0
2021-06-09,224.0,6
2021-06-10,170.0,2
2021-06-11,170.0,2
2021-06-12,232.5,2
2021-06-13,295.0,0
2021-06-14,295.0,1
2021-06-15,170.0,0
2021-06-16,170.0,0
2021-06-17,170.0,0
2021-06-18,170.0,0
2021-06-19,170.0,4
2021-06-20,170.0,0
2021-06-21,170.0,2
2021-06-22,170.0,0
2021-06-23,170.0,2
2021-06-24,170.0,1
2021-06-25,170.0,0
2021-06-26,170.0,1
2021-06-27,170.0,0
2021-06-28,170.0,0
2021-06-29,170.0,2
2021-06-30,170.0,0
2021-07-01,170.0,3
2021-07-02,170.0,1
2021-07-03,170.0,3
2021-07-04,170.0,2
2021-07-05,170.0,2
2021-07-06,170.0,6
2021-07-07,170.0,2
2021-07-08,170.0,6
2021-07-09,170.0,2
2021-07-10,170.0,1
2021-07-11,170.0,0
2021-07-12,170.0,3
2021-07-13,170.0,1
2021-07-14,170.0,1
2021-07-15,170.0,3
2021-07-16,170.0,1
2021-07-17,170.0,1
2021-07-18,170.0,0
2021-07-19,170.0,6
2021-07-20,295.0,0
2021-07-21,295.0,0
2021-07-22,295.0,0
2021-07-23,295.0,1
2021-07-24,295.0,0
2021-07-25,295.0,2
2021-07-26,295.0,0
2021-07-27,295.0,0
2021-07-28,295.0,0
2021-07-29,295.0,0
2021-07-30,295.0,1
2021-07-31,295.0,1
2021-08-01,295.0,0
2021-08-02,295.0,0
2021-08-03,295.0,1
2021-08-04,295.0,0
2021-08-05,295.0,0
2021-08-06,295.0,1
2021-08-07,295.0,0
2021-08-08,295.0,0
2021-08-09,295.0,1
2021-08-10,295.0,0
2021-08-11,295.0,2
2021-08-12,295.0,0
2021-08-13,295.0,0
2021-08-14,295.0,1
2021-08-15,295.0,0
2021-08-16,295.0,4
2021-08-17,295.0,0
2021-08-18,295.0,1
2021-08-19,170.0,1
2021-08-20,295.0,2
2021-08-21,1.0,1
2021-08-22,332.5,0
2021-08-23,332.5,0
